Slide Name,s902-d04-20250613r19-0001-cf202bd9f0e4f114,
Encoding Quality,high
BitRate,0.500000
Number of Layers,10,
Pre-slide time,34.964000,seconds
Pre-focus time,0.029000,seconds
Focusing time,73.653000,seconds
Pre-imaging time,0.979000,seconds
Pre-BG time,0.568000,seconds
BG time,34.483000,seconds
Pre_scan time (move & zmap & imaging class def),6.777000,seconds
Spot number,XY-move,WaitTimeForFocus,CapturingTime,WaitTimeForResidualFrs,BG_compensation,DR_adjust,Tilt_Correction,Wait_for_encoder,Debayering,Lens_adjust,Total_Focus_Process,Encoding_Time,Total_Spot_Time,[~In milliseconds~]
0,893,0,1333,40,70,209,20,0,42,43,392,487,1682,
1,281,82,357,40,80,216,20,0,41,43,410,317,838,
2,322,60,376,40,73,209,19,0,41,42,395,313,824,
3,320,45,365,40,72,209,20,0,42,44,398,433,803,
4,320,48,379,40,79,210,20,0,41,44,403,322,817,
5,316,53,366,40,72,211,22,0,41,40,397,315,765,
6,276,100,363,40,73,209,19,0,42,43,396,317,850,
7,314,47,361,40,72,209,20,0,42,43,395,311,806,
8,315,45,370,40,72,208,20,0,40,40,390,308,1543,
9,1057,0,364,40,70,211,20,0,41,45,397,321,751,
10,317,57,364,40,73,210,22,0,40,42,397,315,767,
11,275,103,359,40,72,210,20,0,42,43,396,312,852,
12,316,53,364,40,72,208,20,0,41,43,395,316,814,
13,322,40,364,40,72,209,20,0,40,44,396,314,800,
14,319,41,366,40,75,208,19,0,42,42,397,316,797,
15,315,59,367,40,72,211,20,0,43,41,398,313,817,
16,318,57,362,40,72,209,20,0,41,42,395,314,771,
17,276,85,362,40,73,210,20,0,41,42,397,312,796,
18,277,92,363,50,72,209,20,0,42,44,395,313,816,
19,279,78,369,40,72,209,20,0,40,40,391,311,1583,
20,1064,0,365,41,70,208,20,0,42,48,396,328,772,
21,321,38,373,50,72,208,20,0,41,44,395,320,812,
22,319,38,368,50,72,209,20,0,41,43,395,319,768,
23,277,89,367,40,73,209,20,0,42,42,394,320,850,
24,319,45,366,40,72,209,20,0,41,43,395,320,783,
25,297,72,370,40,72,210,20,0,42,42,396,312,831,
26,315,54,367,40,72,209,20,0,42,43,397,324,817,
27,321,38,371,40,73,209,20,0,42,44,398,415,796,
28,313,62,377,40,75,210,20,0,43,41,399,312,835,
29,321,44,362,40,75,208,20,0,42,43,399,326,797,
30,316,55,369,40,72,209,20,0,41,44,396,307,818,
31,319,44,366,40,72,208,19,0,41,43,393,320,800,
32,314,53,372,40,72,209,20,0,40,42,392,310,1452,
33,955,0,359,40,70,210,19,0,42,41,393,324,757,
34,322,37,369,40,73,209,20,0,40,46,398,420,801,
35,317,46,367,40,74,210,20,0,42,43,398,314,767,
36,276,95,365,40,72,209,20,0,41,42,395,317,823,
37,279,74,364,40,72,208,20,0,43,43,395,314,793,
38,276,90,360,50,72,209,20,0,42,43,397,319,812,
39,276,84,361,50,72,208,21,0,41,43,396,316,847,
40,317,42,362,40,73,209,19,0,41,43,395,319,802,
41,322,39,369,40,73,209,20,0,41,44,396,323,798,
42,316,53,364,40,72,209,19,0,41,42,394,320,770,
43,277,82,361,40,73,209,20,0,41,44,395,317,799,
44,278,88,361,40,72,210,20,0,44,45,401,316,853,
45,321,45,362,40,74,209,22,0,40,40,395,307,1405,
46,918,0,362,40,70,210,20,0,41,43,394,323,717,
47,280,85,369,40,74,210,20,0,42,42,399,316,851,
48,318,49,367,40,72,208,20,0,41,44,394,316,818,
49,322,37,362,50,72,209,20,0,41,43,396,317,765,
50,276,74,362,50,73,209,20,0,44,47,400,317,850,
51,323,32,366,40,72,209,20,0,41,42,395,313,796,
52,320,46,367,40,73,208,20,0,41,43,394,315,769,
53,277,75,367,40,72,208,20,0,42,42,393,317,846,
54,322,42,366,40,72,208,19,0,43,43,395,318,800,
55,313,44,366,40,72,209,20,0,42,43,396,316,763,
56,275,87,366,40,76,213,20,0,41,42,402,315,853,
57,319,46,361,50,71,209,20,0,42,44,396,423,822,
58,315,27,372,40,77,211,20,0,40,40,397,306,1527,
59,1050,0,363,40,70,209,20,0,41,42,393,319,720,
60,281,81,364,40,73,209,20,0,41,43,395,315,799,
61,278,85,361,40,72,209,20,0,41,44,396,317,811,
62,277,75,365,42,72,209,20,0,40,45,396,428,836,
63,316,42,365,41,78,211,20,0,42,44,404,318,800,
64,315,56,363,50,72,208,20,0,40,44,394,317,783,
65,276,75,361,50,72,209,20,0,43,41,395,319,800,
66,277,84,368,40,73,208,19,0,41,44,395,418,856,
67,318,40,373,50,73,210,20,0,41,43,397,421,827,
68,323,34,390,40,73,209,20,0,42,43,398,319,781,
69,277,81,364,40,73,210,20,0,41,44,397,317,849,
70,323,35,360,40,73,209,20,0,41,45,397,314,751,
71,276,85,369,40,72,210,20,0,42,43,396,316,846,
72,314,53,362,50,73,208,20,0,40,44,396,318,787,
73,280,69,364,40,74,210,20,0,40,42,395,308,1440,
74,926,0,362,40,70,209,20,0,40,45,394,320,725,
75,277,76,366,40,72,208,20,0,41,43,394,318,844,
76,319,35,366,40,72,209,19,0,40,42,395,320,797,
77,316,38,363,40,72,209,19,0,42,42,395,312,799,
78,317,49,366,40,72,209,20,0,42,42,395,314,813,
79,320,47,364,40,72,215,20,0,41,43,402,317,803,
80,313,55,363,40,72,208,19,0,41,42,394,314,814,
81,317,43,364,40,73,208,20,0,40,43,395,314,767,
82,279,77,365,40,72,208,19,0,41,43,393,310,800,
83,278,72,364,41,72,209,19,0,41,43,395,314,798,
84,278,80,362,40,74,208,20,0,41,43,397,311,802,
85,280,79,363,40,74,208,20,0,41,43,397,322,799,
86,276,89,371,40,72,209,19,0,41,43,395,308,816,
87,277,82,372,40,73,209,20,0,41,42,395,316,833,
88,296,61,368,40,74,209,20,0,40,41,394,306,1470,
89,958,0,365,40,73,208,20,0,40,45,396,319,773,
90,323,29,366,50,72,208,19,0,42,43,394,312,817,
91,322,24,364,40,73,211,20,0,41,43,399,315,745,
92,275,86,367,40,72,208,20,0,41,44,395,315,848,
93,315,48,360,40,72,209,19,0,41,42,394,312,771,
94,278,80,359,53,72,208,20,0,42,43,395,314,813,
95,279,75,367,40,73,208,20,0,41,43,395,319,800,
96,277,85,367,50,74,214,20,0,41,43,403,315,862,
97,320,41,362,40,72,210,21,0,41,43,401,314,805,
98,316,42,358,50,72,209,20,0,40,43,394,315,817,
99,320,25,361,40,73,209,20,0,41,45,398,314,748,
100,279,78,361,40,72,209,20,0,41,42,393,319,798,
101,277,77,366,40,73,208,20,0,42,42,395,315,851,
102,322,32,361,40,72,209,20,0,41,43,395,315,800,
103,320,37,364,40,74,210,22,0,40,40,397,305,1310,
104,825,0,362,40,71,208,20,0,42,43,393,321,766,
105,323,29,363,40,72,209,20,0,41,44,396,318,753,
106,277,81,366,50,72,208,20,0,41,43,394,318,868,
107,322,23,364,40,72,209,20,0,42,44,396,318,750,
