Slide Name,s902-d04-20250613r21-0001-e57e782cc417a320,
Encoding Quality,low
BitRate,0.100000
Number of Layers,10,
Pre-slide time,34.903000,seconds
Pre-focus time,0.025000,seconds
Focusing time,75.281000,seconds
Pre-imaging time,0.975000,seconds
Pre-BG time,0.753000,seconds
BG time,34.385000,seconds
Pre_scan time (move & zmap & imaging class def),6.604000,seconds
Spot number,XY-move,WaitTimeForFocus,CapturingTime,WaitTimeForResidualFrs,BG_compensation,DR_adjust,Tilt_Correction,Wait_for_encoder,Debayering,Lens_adjust,Total_Focus_Process,Encoding_Time,Total_Spot_Time,[~In milliseconds~]
0,893,0,1331,40,70,210,20,0,41,42,395,483,1682,
1,282,79,364,40,85,212,20,0,42,42,412,305,828,
2,313,76,362,40,73,209,20,0,42,43,397,300,787,
3,277,88,368,40,74,210,20,0,43,43,401,301,845,
4,320,61,369,40,73,209,20,0,40,44,398,300,819,
5,316,56,367,40,75,209,20,0,41,43,399,302,814,
6,319,49,368,40,74,210,20,0,42,44,399,301,766,
7,280,90,364,40,72,210,20,0,42,41,396,299,801,
8,276,91,362,40,72,209,20,0,40,40,390,299,1589,
9,1059,0,363,40,70,211,20,0,43,44,398,309,744,
10,313,61,359,40,71,209,20,0,41,42,395,305,769,
11,278,93,361,41,75,210,20,0,41,44,401,301,854,
12,323,48,360,40,71,209,20,0,42,42,395,300,793,
13,315,58,364,40,72,213,20,0,41,43,399,307,772,
14,277,93,366,40,72,210,20,0,42,42,396,390,855,
15,315,42,365,40,73,211,20,0,40,44,398,300,760,
16,280,87,362,40,72,209,20,0,41,44,395,303,797,
17,277,91,367,40,72,211,20,0,41,44,397,302,849,
18,319,45,363,40,72,210,19,0,40,45,397,301,800,
19,319,52,362,40,71,209,20,0,40,40,391,299,1538,
20,1049,0,361,40,70,209,19,0,40,44,393,304,748,
21,316,53,365,40,72,209,20,0,42,43,397,301,767,
22,279,90,364,40,72,212,20,0,43,41,399,304,849,
23,323,47,364,40,71,209,19,0,41,43,395,301,802,
24,316,48,365,40,72,209,20,0,41,43,395,302,764,
25,279,87,367,40,72,208,19,0,42,41,395,304,848,
26,322,44,366,40,72,210,20,0,42,43,397,301,800,
27,314,51,368,40,72,211,21,0,41,42,399,300,767,
28,276,101,367,40,72,211,20,0,41,43,398,301,865,
29,324,51,363,40,73,210,20,0,42,43,398,302,770,
30,281,89,362,40,72,209,20,0,41,43,396,304,847,
31,323,44,363,40,72,209,20,0,40,45,396,301,798,
32,317,50,365,40,71,209,20,0,40,42,392,299,1411,
33,919,0,363,40,70,209,20,0,42,43,394,308,751,
34,313,54,360,40,72,212,20,0,42,40,399,303,767,
35,277,93,362,40,71,210,20,0,42,42,396,302,849,
36,317,48,362,40,72,210,20,0,42,41,396,301,765,
37,277,90,371,40,71,209,20,0,41,43,395,302,815,
38,280,93,364,40,71,209,20,0,40,45,395,304,848,
39,318,51,361,40,71,209,20,0,44,42,397,305,801,
40,313,61,362,40,72,210,20,0,42,44,398,302,824,
41,320,41,361,40,72,209,20,0,40,44,396,304,758,
42,280,88,370,40,72,209,20,0,42,43,396,310,851,
43,317,54,362,40,72,210,20,0,41,44,396,303,813,
44,323,46,361,50,72,209,20,0,42,42,396,306,768,
45,277,81,361,40,72,209,20,0,41,41,394,301,1472,
46,956,0,361,40,70,209,20,0,41,43,394,310,753,
47,316,46,365,40,72,209,19,0,42,43,395,302,767,
48,281,85,363,40,72,212,20,0,40,43,398,303,804,
49,281,85,359,40,73,210,20,0,42,42,398,302,796,
50,277,94,363,40,73,209,20,0,41,44,397,302,846,
51,315,57,365,40,72,209,20,0,41,43,395,303,818,
52,320,42,366,40,73,211,20,0,41,42,399,302,799,
53,316,48,363,40,74,209,20,0,42,43,398,302,800,
54,313,51,363,40,71,209,20,0,42,42,395,304,768,
55,277,84,364,40,72,210,20,0,41,43,397,303,849,
56,322,42,363,40,72,210,20,0,41,43,397,302,797,
57,316,43,364,40,71,209,20,0,40,45,396,301,768,
58,283,78,363,40,72,210,19,0,40,40,391,301,1571,
59,1049,0,361,40,70,210,20,0,42,43,394,304,715,
60,279,82,372,40,72,209,20,0,41,42,395,302,850,
61,317,44,361,40,72,211,20,0,42,42,397,307,803,
62,315,46,360,40,72,209,20,0,40,44,395,301,762,
63,279,86,361,40,72,210,20,0,41,44,397,301,849,
64,323,42,361,40,72,210,20,0,41,43,396,304,799,
65,319,48,363,40,71,208,20,0,41,42,394,309,768,
