Slide Name,s902-d04-20250613r20-0001-03e135f2cbf6e0cf,
Encoding Quality,mid
BitRate,0.300000
Number of Layers,10,
Pre-slide time,35.876000,seconds
Pre-focus time,0.029000,seconds
Focusing time,73.881000,seconds
Pre-imaging time,0.984000,seconds
Pre-BG time,0.608000,seconds
BG time,34.084000,seconds
Pre_scan time (move & zmap & imaging class def),6.680000,seconds
Spot number,XY-move,WaitTimeForFocus,CapturingTime,WaitTimeForResidualFrs,BG_compensation,DR_adjust,Tilt_Correction,Wait_for_encoder,Debayering,Lens_adjust,Total_Focus_Process,Encoding_Time,Total_Spot_Time,[~In milliseconds~]
0,893,0,1332,40,70,209,20,0,40,44,395,497,1717,
1,314,50,374,40,83,212,20,0,42,41,409,310,810,
2,318,66,362,40,71,209,20,0,42,44,395,301,817,
3,320,52,363,40,73,209,20,0,41,44,398,305,800,
4,317,58,362,40,72,209,20,0,40,43,396,305,769,
5,278,93,367,40,72,210,20,0,40,44,397,306,846,
6,316,54,368,40,73,209,20,0,43,41,396,311,769,
7,277,90,366,40,72,209,20,0,41,45,397,305,846,
8,321,52,362,40,76,208,20,0,40,40,395,303,1538,
9,1054,0,362,40,71,209,20,0,41,43,395,318,752,
10,318,55,368,40,73,210,20,0,41,43,397,311,816,
11,323,45,363,40,72,211,20,0,41,43,399,309,802,
12,320,49,359,40,72,209,20,0,42,42,395,305,796,
13,318,54,362,40,72,210,20,0,40,44,397,304,800,
14,314,61,365,40,72,209,20,0,42,43,396,308,814,
15,319,51,367,40,72,208,20,0,40,44,395,304,801,
16,313,60,363,40,72,209,20,0,41,44,397,315,815,
17,323,48,360,40,73,209,19,0,44,43,400,303,801,
18,321,51,364,42,74,209,20,0,41,44,397,304,767,
19,278,87,359,40,71,209,20,0,40,40,390,303,1568,
20,1051,0,361,40,70,209,20,0,41,44,394,316,757,
21,320,44,365,40,72,209,20,0,42,42,395,306,761,
22,281,86,363,40,72,208,20,0,41,43,395,309,803,
23,282,86,362,40,72,209,20,0,41,43,395,303,798,
24,277,91,367,40,72,209,20,0,40,45,396,302,849,
25,319,43,366,40,71,209,20,0,41,43,394,305,799,
26,317,53,366,40,72,209,20,0,41,44,396,310,816,
27,324,42,365,40,72,209,20,0,41,43,396,405,800,
28,319,42,369,40,75,210,20,0,41,43,399,303,764,
29,279,96,368,40,72,208,20,0,42,43,395,306,855,
30,313,55,364,40,72,209,20,0,42,42,395,305,812,
31,318,42,362,40,71,212,20,0,42,43,398,310,799,
32,321,47,360,40,71,210,20,0,40,42,394,302,1439,
33,959,0,364,40,70,209,20,0,40,45,394,319,753,
34,315,49,369,40,71,209,20,0,41,45,398,323,815,
35,323,49,368,40,71,210,20,0,42,43,396,305,767,
36,276,96,362,40,72,208,19,0,41,44,396,304,848,
37,317,51,364,40,72,208,20,0,41,43,396,309,769,
38,279,83,363,40,72,210,20,0,41,44,396,305,798,
39,277,90,364,40,72,209,20,0,41,44,398,310,848,
40,321,45,361,40,71,210,20,0,41,44,397,306,810,
41,321,40,365,40,72,209,20,0,42,41,396,312,759,
42,278,85,361,40,71,208,20,0,42,43,394,315,799,
43,279,86,363,40,74,209,20,0,41,42,398,310,799,
44,277,90,359,40,72,209,20,0,42,45,398,305,804,
45,276,90,364,40,71,208,20,0,40,42,393,303,1452,
46,922,0,366,40,70,210,20,0,41,43,396,308,719,
47,278,86,361,40,72,209,20,0,41,44,398,305,806,
48,276,86,360,40,73,209,20,0,42,41,397,305,842,
49,319,50,362,40,72,209,20,0,41,44,396,306,766,
50,280,86,362,40,71,208,20,0,42,44,396,307,804,
51,278,85,362,40,72,209,20,0,42,42,397,312,853,
52,319,35,366,40,72,209,22,0,40,45,400,305,765,
53,280,78,364,40,72,209,20,0,41,44,395,313,849,
54,323,37,364,40,72,209,20,0,42,42,395,308,791,
55,316,48,370,40,72,209,20,0,42,42,395,305,775,
56,276,82,366,40,71,209,20,0,41,43,395,313,845,
57,316,38,361,40,73,209,20,0,42,43,398,310,797,
58,319,51,362,40,71,209,20,0,40,40,390,308,1552,
59,1063,0,362,40,69,209,20,0,41,43,392,316,722,
60,279,82,368,40,73,209,20,0,41,43,397,311,845,
61,319,50,364,40,72,209,20,0,42,43,396,309,768,
62,277,86,366,40,72,208,20,0,42,42,395,306,851,
63,318,35,372,40,72,208,20,0,41,43,395,315,763,
64,281,77,372,40,71,208,20,0,41,42,394,303,850,
65,323,41,366,40,71,208,20,0,41,44,396,308,802,
66,314,49,362,40,72,212,20,0,42,43,399,311,817,
67,323,39,362,40,72,208,20,0,41,43,396,307,796,
68,317,44,361,40,72,209,20,0,42,43,396,314,798,
69,317,50,368,40,72,209,20,0,41,43,396,310,825,
70,320,38,361,40,73,209,20,0,41,44,398,313,763,
71,283,78,361,40,72,209,20,0,41,43,396,310,803,
72,278,75,362,40,71,209,20,0,42,42,396,303,792,
73,277,83,364,40,73,209,22,0,40,40,395,302,1445,
74,914,0,362,40,71,209,20,0,41,43,395,314,762,
75,323,33,363,41,75,209,20,0,44,41,400,305,756,
76,276,85,364,40,72,208,20,0,41,43,395,308,850,
77,316,36,365,40,72,210,20,0,41,44,397,306,797,
78,313,40,368,40,72,209,20,0,41,45,397,303,765,
79,276,91,364,40,72,209,20,0,42,43,395,396,847,
80,313,45,365,40,73,210,20,0,42,42,398,309,777,
81,278,71,362,40,72,209,20,0,41,44,396,314,788,
82,277,85,368,40,72,209,20,0,41,44,396,309,854,
83,318,44,362,40,73,209,20,0,44,42,398,314,763,
84,278,81,367,40,72,209,20,0,41,44,397,313,850,
85,316,42,362,40,72,209,20,0,41,43,395,311,797,
86,314,48,362,40,72,209,20,0,42,42,396,311,767,
87,279,83,361,40,71,209,20,0,42,42,394,308,800,
88,277,83,361,40,74,209,22,0,40,40,395,301,1444,
89,918,0,361,40,70,209,20,0,41,44,394,316,717,
90,277,81,363,40,72,209,20,0,42,42,396,304,849,
91,322,31,363,40,72,209,19,0,41,43,396,309,803,
92,320,34,357,40,72,208,20,0,41,43,394,313,795,
93,320,42,361,40,72,209,20,0,41,42,396,311,801,
94,315,43,366,40,72,208,20,0,41,42,394,311,811,
95,323,34,369,40,72,210,20,0,41,43,396,305,804,
96,318,42,361,40,72,209,20,0,41,43,396,311,769,
97,280,74,361,40,74,209,19,0,43,44,401,304,796,
98,279,84,363,40,72,209,19,0,40,44,395,306,848,
99,320,36,366,40,72,209,20,0,41,44,397,310,802,
100,316,39,361,40,72,210,20,0,42,42,399,312,797,
101,314,47,358,40,71,209,20,0,40,45,396,306,800,
102,314,49,364,40,75,209,20,0,41,43,399,303,784,
103,288,71,365,40,72,210,20,0,40,40,393,302,1343,
104,825,0,361,40,70,209,20,0,41,44,394,318,769,
105,321,32,368,40,72,210,19,0,43,44,398,311,805,
106,316,39,362,40,72,209,20,0,42,42,396,313,761,
107,278,83,367,40,72,209,20,0,41,43,396,305,818,
108,282,68,366,40,72,209,20,0,43,42,396,313,797,
109,277,76,369,40,71,209,20,0,41,42,395,308,852,
110,321,29,368,40,72,209,20,0,42,42,396,309,797,
111,317,37,362,40,72,209,20,0,40,44,396,319,801,
112,318,42,368,40,72,209,20,0,41,44,397,308,813,
113,320,36,374,40,72,209,19,0,42,43,396,306,774,
114,276,74,377,40,72,210,19,0,42,42,396,309,813,
115,276,80,369,40,72,209,20,0,42,43,396,314,819,
116,281,74,362,40,71,209,20,0,41,42,394,303,1483,
117,963,0,361,40,73,209,20,0,40,44,396,313,773,
118,323,30,360,40,72,209,20,0,42,45,398,302,793,
119,319,40,367,40,71,209,19,0,41,42,393,306,774,
120,276,75,366,40,72,209,20,0,41,42,396,304,841,
121,316,44,367,40,71,209,21,0,42,43,398,312,823,
122,322,33,364,40,72,209,20,0,41,43,396,305,761,
123,277,77,364,40,72,210,22,0,41,43,400,303,848,
124,323,36,365,40,72,209,19,0,41,45,395,304,802,
125,315,35,363,40,71,210,20,0,41,40,395,306,801,
126,315,37,365,40,72,209,20,0,42,43,396,311,766,
127,278,78,362,40,72,209,20,0,41,44,395,305,847,
128,321,32,364,40,72,209,20,0,42,42,396,307,799,
129,318,34,364,40,72,209,20,0,41,44,397,302,1408,
130,921,0,361,40,69,210,20,0,40,44,394,317,768,
131,321,29,364,40,73,208,20,0,41,42,397,303,799,
132,321,40,363,40,72,209,20,0,41,46,397,306,783,
133,295,60,368,40,72,209,20,0,41,43,396,310,832,
134,319,30,365,40,71,209,20,0,42,43,395,305,797,
135,319,43,365,40,72,210,20,0,41,43,396,306,770,
136,276,78,363,40,72,209,20,0,42,43,396,307,848,
137,321,33,364,40,71,212,20,0,41,42,398,307,802,
138,318,34,369,40,72,209,20,0,43,42,397,310,772,
139,276,68,368,40,72,208,20,0,42,42,395,315,840,
140,319,38,363,40,73,209,20,0,40,45,397,309,802,
141,313,43,363,40,71,211,20,0,42,43,399,304,818,
142,324,28,364,40,72,211,20,0,40,40,393,304,1249,
143,767,0,358,40,70,209,19,0,40,42,391,321,774,
144,318,16,372,40,72,209,20,0,41,42,396,311,792,
145,315,35,363,40,72,209,19,0,43,43,397,308,769,
146,279,68,366,40,71,209,20,0,42,44,396,312,844,
147,322,38,365,40,71,209,20,0,41,42,395,308,772,
148,278,75,361,40,72,208,20,0,42,43,396,304,845,
149,320,35,360,40,74,211,20,0,41,46,402,305,801,
150,316,40,364,40,71,209,20,0,42,42,395,311,813,
151,320,22,359,41,71,208,20,0,41,45,396,303,750,
152,277,76,363,40,72,209,20,0,42,41,395,314,851,
153,322,28,365,40,74,213,20,0,40,40,397,305,1297,
154,814,0,361,40,71,208,20,0,42,42,394,317,766,
155,316,37,366,40,72,209,20,0,40,43,395,314,772,
156,278,71,367,40,71,208,20,0,41,46,397,304,846,
157,315,37,365,41,72,209,20,0,42,42,395,309,819,
158,320,20,364,40,72,209,20,0,42,43,397,302,795,
159,317,29,366,40,72,208,20,0,41,42,395,305,769,
160,281,61,362,40,72,209,20,0,42,43,396,310,830,
161,315,32,363,40,72,209,20,0,42,42,397,303,768,
162,280,70,368,40,69,209,20,0,40,40,388,307,2757,
Imaging Time,183.829000,seconds
Slide Time in total,260.015000,seconds
