Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,zlayer,level
GET,0_13,1,0,74.81861114501953,74.81861114501953,74.81861114501953,74.81861114501953,1393036.0,z10,15
GET,0_16,1,0,82.25639909505844,82.25639909505844,82.25639909505844,82.25639909505844,1342525.0,z10,15
GET,10_18,1,0,76.08619565144181,76.08619565144181,76.08619565144181,76.08619565144181,1350353.0,z10,15
GET,11_17,1,0,73.80967075005174,73.80967075005174,73.80967075005174,73.80967075005174,1510792.0,z10,15
GET,11_21,1,0,79.67136707156897,79.67136707156897,79.67136707156897,79.67136707156897,1499643.0,z10,15
GET,11_4,1,0,95.72019940242173,95.72019940242173,95.72019940242173,95.72019940242173,1403356.0,z10,15
GET,11_8,1,0,83.1327959895134,83.1327959895134,83.1327959895134,83.1327959895134,1364936.0,z10,15
GET,12_11,1,0,78.46295088529587,78.46295088529587,78.46295088529587,78.46295088529587,1664581.0,z10,15
GET,12_18,1,0,86.2736152485013,86.2736152485013,86.2736152485013,86.2736152485013,1447494.0,z10,15
GET,12_4,1,0,72.88996921852231,72.88996921852231,72.88996921852231,72.88996921852231,1554746.0,z10,15
GET,12_6,1,0,81.9881851784885,81.9881851784885,81.9881851784885,81.9881851784885,1486067.0,z10,15
GET,12_8,1,0,79.7342392615974,79.7342392615974,79.7342392615974,79.7342392615974,1489792.0,z10,15
GET,13_0,1,0,73.42926412820816,73.42926412820816,73.42926412820816,73.42926412820816,1330680.0,z10,15
GET,13_16,1,0,76.02660590782762,76.02660590782762,76.02660590782762,76.02660590782762,1379214.0,z10,15
GET,13_28,1,0,73.98107787594199,73.98107787594199,73.98107787594199,73.98107787594199,1502825.0,z10,15
GET,14_0,2,0,76.0,76.96693856269121,75.63620992004871,78.29766720533371,1335594.0,z10,15
GET,14_15,1,0,75.65358188003302,75.65358188003302,75.65358188003302,75.65358188003302,1635001.0,z10,15
GET,14_17,1,0,77.34110299497843,77.34110299497843,77.34110299497843,77.34110299497843,1594941.0,z10,15
GET,14_22,1,0,74.06709808856249,74.06709808856249,74.06709808856249,74.06709808856249,1429313.0,z10,15
GET,14_23,3,0,79.0,79.24258553733428,76.56331872567534,82.3134109377861,1650244.0,z10,15
GET,14_25,1,0,80.38671128451824,80.38671128451824,80.38671128451824,80.38671128451824,1663428.0,z10,15
GET,14_28,1,0,80.62984514981508,80.62984514981508,80.62984514981508,80.62984514981508,1442775.0,z10,15
GET,15_18,1,0,77.126685064286,77.126685064286,77.126685064286,77.126685064286,1309077.0,z10,15
GET,15_19,1,0,76.37467607855797,76.37467607855797,76.37467607855797,76.37467607855797,1504811.0,z10,15
GET,15_2,1,0,76.24483900144696,76.24483900144696,76.24483900144696,76.24483900144696,1289203.0,z10,15
GET,15_4,1,0,78.81723996251822,78.81723996251822,78.81723996251822,78.81723996251822,1346886.0,z10,15
GET,15_6,1,0,78.58145562931895,78.58145562931895,78.58145562931895,78.58145562931895,1329344.0,z10,15
GET,15_8,1,0,76.95287466049194,76.95287466049194,76.95287466049194,76.95287466049194,1320742.0,z10,15
GET,16_22,1,0,73.46147485077381,73.46147485077381,73.46147485077381,73.46147485077381,1484553.0,z10,15
GET,16_28,1,0,77.11400091648102,77.11400091648102,77.11400091648102,77.11400091648102,1483399.0,z10,15
GET,16_7,1,0,78.03846336901188,78.03846336901188,78.03846336901188,78.03846336901188,1663127.0,z10,15
GET,17_0,1,0,80.44751593843102,80.44751593843102,80.44751593843102,80.44751593843102,1329119.0,z10,15
GET,17_12,1,0,76.16746472194791,76.16746472194791,76.16746472194791,76.16746472194791,1368482.0,z10,15
GET,17_2,1,0,75.6730199791491,75.6730199791491,75.6730199791491,75.6730199791491,1289648.0,z10,15
GET,17_7,1,0,84.48249706998467,84.48249706998467,84.48249706998467,84.48249706998467,1552269.0,z10,15
GET,17_8,1,0,76.80971687659621,76.80971687659621,76.80971687659621,76.80971687659621,1388882.0,z10,15
GET,18_12,1,0,74.93331516161561,74.93331516161561,74.93331516161561,74.93331516161561,1375287.0,z10,15
